run_id,benchmark,kernel,group,arm,model,repeat,outcome,best_speedup,seq_median_s,seq_kernel_median_s,timing_basis,kernel_program_disagree,dump_exact,dump_exact_seeded,digest_max_rel_err,dump_max_rel_err,dump_seeded_max_rel_err,digest_seeded_rel_err,stable_at_fixed_threads,source_changed,pragmas_in_final,pragmas_discopop,pragmas_llm,rewrites_kept,baseline_pragmas,agent_verdict,llm_calls,llm_call_failures,explorer_retries,profile_explore_attempts,scaffold_ok,scaffold_problems,input_tokens,output_tokens,cache_read_input_tokens,cost_usd_equivalent,model_seconds,candidates_recorded,reverts,gate_passes_phase_a,speed_check_off,refresh_fast,refresh_full,refresh_fallback,phase_b_deferred,phase_b_joint_kept,dp_floor,runtime_remeasurements,settle_dropped,agent_s,verify_s,profile_s,discopop_do_all,host_load_start_1m,host_load_end_1m,started_at,finished_at,verify_size,speed_measurable,require_speedup,min_runtime_share,timing_cflags,speedup_T6,program_speedup_T6,speedup_T12,program_speedup_T12
v3_pilot_1,tsvc/s112,s112,,no_evidence,claude-haiku-4-5-20251001,1,FASTER,1.123,5.3074,2.908575,kernel,False,True,True,0.0,0.0,0.0,0.0,True,True,2,2,0,1,1,,1,0,0,1,True,,26,12589,49054,0.1014,95.9,6,0,1,False,0,1,0,0,0,original,1,0,234.1,90.4,3.69,6,11.37841796875,9.84765625,2026-09-25T23:16:49,2026-09-25T23:22:14,EXTRALARGE,True,True,0.01,-DLARGE_DATASET,1.114,1.037,1.123,1.043
v3_pilot_1,tsvc/s112,s112,,no_evidence,claude-haiku-4-5-20251001,2,FASTER,1.342,5.4515,3.005322,kernel,False,True,True,0.0,0.0,0.0,0.0,True,True,2,2,0,1,1,,1,0,0,1,True,,34,6957,60496,0.0639,66.2,6,0,1,False,0,1,0,0,0,original,1,0,199.0,90.5,3.69,6,9.84765625,10.72998046875,2026-09-25T23:22:14,2026-09-25T23:27:03,EXTRALARGE,True,True,0.01,-DLARGE_DATASET,1.068,1.012,1.342,1.14
v3_pilot_1,tsvc/s112,s112,,no_evidence,claude-haiku-4-5-20251001,3,FASTER,1.335,5.3533,2.911105,kernel,False,True,True,0.0,0.0,0.0,0.0,True,True,2,2,0,1,1,,4,0,0,1,True,,88,50102,213824,0.3902,483.8,13,2,3,False,0,3,0,0,0,original,3,0,727.0,86.8,3.69,6,10.72998046875,10.72900390625,2026-09-25T23:27:03,2026-09-25T23:40:37,EXTRALARGE,True,True,0.01,-DLARGE_DATASET,1.297,1.121,1.335,1.138
v3_pilot_1,tsvc/s121,s121,,no_evidence,claude-haiku-4-5-20251001,1,FASTER,1.376,5.4361,2.990986,kernel,False,True,True,0.0,0.0,0.0,0.0,True,True,2,2,0,1,0,,1,0,0,1,True,,26,8883,39110,0.0753,86.9,6,0,1,False,0,1,0,0,0,original,1,0,238.0,88.3,3.84,5,7.25048828125,10.52001953125,2026-09-25T23:58:41,2026-09-26T00:04:07,EXTRALARGE,True,True,0.01,-DLARGE_DATASET,1.286,1.115,1.376,1.136
v3_pilot_1,tsvc/s121,s121,,no_evidence,claude-haiku-4-5-20251001,2,FASTER,1.739,5.9532,3.386236,kernel,False,True,True,0.0,0.0,0.0,0.0,True,True,2,2,0,1,0,,4,0,0,1,True,,178,55629,635875,0.4775,526.8,15,3,4,False,0,4,0,0,0,original,4,0,840.7,88.7,3.84,5,10.52001953125,8.1806640625,2026-09-26T00:04:08,2026-09-26T00:19:37,EXTRALARGE,True,True,0.01,-DLARGE_DATASET,1.613,1.256,1.739,1.309
v3_pilot_1,tsvc/s121,s121,,no_evidence,claude-haiku-4-5-20251001,3,FASTER,1.19,5.8321,3.24441,kernel,False,True,True,0.0,0.0,0.0,0.0,True,True,2,2,0,1,0,,1,0,0,1,True,,26,4031,41213,0.0413,44.4,6,0,1,False,0,1,0,0,0,original,1,0,262.7,93.7,3.84,5,8.1806640625,9.91064453125,2026-09-26T00:19:37,2026-09-26T00:25:33,EXTRALARGE,True,True,0.01,-DLARGE_DATASET,1.147,1.089,1.19,1.103
v3_pilot_1,tsvc/s1213,s1213,,no_evidence,claude-haiku-4-5-20251001,1,FASTER,2.8,1.4083,1.032939,kernel,False,True,True,0.0,0.0,0.0,0.0,True,True,2,2,0,1,0,,2,0,0,1,True,,54,11409,103988,0.0995,101.5,7,0,1,False,0,1,0,0,0,original,1,0,350.2,18.5,3.94,5,8.37548828125,9.341796875,2026-09-26T05:51:29,2026-09-26T05:57:38,LARGE,True,True,0.01,-DLARGE_DATASET,2.592,1.682,2.8,1.76
v3_pilot_1,tsvc/s1213,s1213,,no_evidence,claude-haiku-4-5-20251001,2,FASTER,1.216,1.393,1.040477,kernel,False,True,True,0.0,0.0,0.0,0.0,True,True,2,2,0,1,0,,3,0,0,1,True,,62,45981,237211,0.3561,385.6,14,1,2,False,0,2,0,0,0,original,2,0,649.5,23.7,3.94,5,9.341796875,7.490234375,2026-09-26T05:57:38,2026-09-26T06:08:51,LARGE,True,True,0.01,-DLARGE_DATASET,1.216,1.089,1.149,1.039
v3_pilot_1,tsvc/s1213,s1213,,no_evidence,claude-haiku-4-5-20251001,3,FASTER,2.746,1.4835,1.095286,kernel,False,True,True,0.0,0.0,0.0,0.0,True,True,2,2,0,1,0,,1,0,0,1,True,,34,13203,66672,0.108,96.8,6,0,1,False,0,1,0,0,0,original,1,0,284.3,19.1,3.94,5,7.490234375,10.5234375,2026-09-26T06:08:51,2026-09-26T06:13:55,LARGE,True,True,0.01,-DLARGE_DATASET,2.746,1.797,2.507,1.688
v3_pilot_2,tsvc/s211,s211,,no_evidence,claude-haiku-4-5-20251001,1,parallel-not-faster,1.092,1.7424,1.382645,kernel,False,True,True,0.0,0.0,0.0,0.0,True,True,1,1,0,1,0,,5,0,0,2,True,,106,71357,334559,0.5536,726.2,12,2,3,False,0,3,0,0,0,original,3,0,959.3,30.2,604.22,5,10.69287109375,6.6044921875,2026-09-25T23:19:49,2026-09-25T23:36:19,LARGE,True,True,0.01,-DLARGE_DATASET,1.092,1.029,1.065,0.999
