run_id,benchmark,kernel,group,arm,model,repeat,outcome,best_speedup,seq_median_s,seq_kernel_median_s,timing_basis,kernel_program_disagree,dump_exact,dump_exact_seeded,digest_max_rel_err,dump_max_rel_err,dump_seeded_max_rel_err,digest_seeded_rel_err,stable_at_fixed_threads,source_changed,pragmas_in_final,pragmas_discopop,pragmas_llm,rewrites_kept,baseline_pragmas,agent_verdict,llm_calls,llm_call_failures,explorer_retries,profile_explore_attempts,scaffold_ok,scaffold_problems,input_tokens,output_tokens,cache_read_input_tokens,cost_usd_equivalent,model_seconds,candidates_recorded,reverts,gate_passes_phase_a,speed_check_off,refresh_fast,refresh_full,refresh_fallback,runtime_remeasurements,settle_dropped,agent_s,verify_s,profile_s,discopop_do_all,host_load_start_1m,host_load_end_1m,started_at,finished_at,verify_size,speed_measurable,require_speedup,min_runtime_share,timing_cflags,speedup_T6,program_speedup_T6,speedup_T12,program_speedup_T12
e1_r_a,tsvc/s112,s112,,default,claude-haiku-4-5-20251001,1,no-change,0.963,5.3825,2.939173,kernel,False,True,True,0.0,0.0,0.0,0.0,True,False,0,0,0,0,1,,3,0,0,1,True,,87,49685,532126,0.4203,376.0,5,1,2,False,0,2,0,2,2,462.9,96.0,4.04,6,4972.14453125,3855.7548828125,2026-09-22T02:02:19,2026-09-22T02:11:38,EXTRALARGE,True,True,0.01,-DLARGE_DATASET,0.963,0.974,0.955,0.963
e1_r_a,tsvc/s112,s112,,default,claude-haiku-4-5-20251001,2,FASTER,1.765,5.5238,2.990795,kernel,False,True,True,0.0,0.0,0.0,0.0,True,True,2,2,0,1,1,,2,0,0,1,True,,60,31319,282674,0.2651,322.1,4,0,1,False,0,1,0,1,0,1018.1,83.1,4.04,6,3855.7548828125,2464.07275390625,2026-09-22T02:11:38,2026-09-22T02:29:59,EXTRALARGE,True,True,0.01,-DLARGE_DATASET,1.491,1.216,1.765,1.317
e1_r_a,tsvc/s112,s112,,default,claude-haiku-4-5-20251001,3,no-change,1.001,5.4502,2.950184,kernel,False,True,True,0.0,0.0,0.0,0.0,True,False,0,0,0,0,1,,1,0,0,1,True,,26,13612,71097,0.1181,140.7,3,0,1,False,0,1,0,1,2,368.6,96.0,4.04,6,2464.07275390625,5356.95703125,2026-09-22T02:29:59,2026-09-22T02:37:44,EXTRALARGE,True,True,0.01,-DLARGE_DATASET,0.967,0.979,1.001,0.998
e1_r_a,tsvc/s112,s112,,default,claude-haiku-4-5-20251001,4,no-change,0.955,5.3346,2.918849,kernel,False,True,True,0.0,0.0,0.0,0.0,True,False,0,0,0,0,1,,2,0,0,1,True,,54,25691,199935,0.2166,251.4,4,0,1,False,0,1,0,1,1,950.3,95.7,4.04,6,5356.95703125,3848.9765625,2026-09-22T02:37:44,2026-09-22T02:55:10,EXTRALARGE,True,True,0.01,-DLARGE_DATASET,0.955,0.953,0.953,0.955
e1_r_a,tsvc/s112,s112,,default,claude-haiku-4-5-20251001,5,no-change,1.044,5.551,3.055663,kernel,False,True,True,0.0,0.0,0.0,0.0,True,False,0,0,0,0,1,,1,0,0,1,True,,26,12925,73838,0.1143,130.4,3,0,1,False,0,1,0,1,2,210.2,96.2,4.04,6,3848.9765625,7211.439453125,2026-09-22T02:55:10,2026-09-22T03:00:16,EXTRALARGE,True,True,0.01,-DLARGE_DATASET,1.044,1.02,0.997,0.992
e1_r_a,tsvc/s112,s112,,discopop_gate,claude-haiku-4-5-20251001,1,no-change,1.044,5.5545,3.102076,kernel,False,True,True,0.0,0.0,0.0,0.0,True,False,0,0,0,0,1,,0,0,0,1,True,,,,,,,1,0,0,False,0,0,0,0,0,31.3,96.5,4.04,6,4715.91015625,5082.306640625,2026-09-22T01:51:38,2026-09-22T01:53:46,EXTRALARGE,True,True,0.01,-DLARGE_DATASET,1.018,1.0,1.044,1.009
e1_r_a,tsvc/s112,s112,,discopop_gate,claude-haiku-4-5-20251001,2,no-change,1.051,5.5657,3.087495,kernel,False,True,True,0.0,0.0,0.0,0.0,True,False,0,0,0,0,1,,0,0,0,1,True,,,,,,,1,0,0,False,0,0,0,0,0,31.6,96.8,4.04,6,5082.306640625,2627.83837890625,2026-09-22T01:53:46,2026-09-22T01:55:54,EXTRALARGE,True,True,0.01,-DLARGE_DATASET,1.051,1.023,1.012,0.997
e1_r_a,tsvc/s112,s112,,discopop_gate,claude-haiku-4-5-20251001,3,no-change,1.061,5.636,3.113054,kernel,False,True,True,0.0,0.0,0.0,0.0,True,False,0,0,0,0,1,,0,0,0,1,True,,,,,,,1,0,0,False,0,0,0,0,0,31.4,96.9,4.04,6,2627.83837890625,3493.826171875,2026-09-22T01:55:54,2026-09-22T01:58:02,EXTRALARGE,True,True,0.01,-DLARGE_DATASET,1.061,1.03,1.015,1.007
e1_r_a,tsvc/s112,s112,,discopop_gate,claude-haiku-4-5-20251001,4,no-change,1.038,5.5276,3.072144,kernel,False,True,True,0.0,0.0,0.0,0.0,True,False,0,0,0,0,1,,0,0,0,1,True,,,,,,,1,0,0,False,0,0,0,0,0,31.1,96.6,4.04,6,3493.826171875,4217.08984375,2026-09-22T01:58:02,2026-09-22T02:00:10,EXTRALARGE,True,True,0.01,-DLARGE_DATASET,1.038,1.007,1.008,0.99
e1_r_a,tsvc/s112,s112,,discopop_gate,claude-haiku-4-5-20251001,5,no-change,0.984,5.5485,3.011123,kernel,False,True,True,0.0,0.0,0.0,0.0,True,False,0,0,0,0,1,,0,0,0,1,True,,,,,,,1,0,0,False,0,0,0,0,0,31.6,97.0,4.04,6,4217.08984375,4972.14453125,2026-09-22T02:00:10,2026-09-22T02:02:19,EXTRALARGE,True,True,0.01,-DLARGE_DATASET,0.979,0.988,0.984,0.993
e1_r_a,tsvc/s121,s121,,default,claude-haiku-4-5-20251001,1,no-change,1.022,5.43,3.011656,kernel,False,True,True,0.0,0.0,0.0,0.0,True,False,0,0,0,0,0,,1,0,0,1,True,,26,7391,68270,0.0753,76.8,3,0,1,False,0,1,0,1,1,174.5,95.8,3.99,5,4446.42529296875,4728.71044921875,2026-09-22T03:08:47,2026-09-22T03:13:17,EXTRALARGE,True,True,0.01,-DLARGE_DATASET,1.022,0.991,1.008,0.985
e1_r_a,tsvc/s121,s121,,default,claude-haiku-4-5-20251001,2,no-change,1.0,5.3907,2.948719,kernel,False,True,True,0.0,0.0,0.0,0.0,True,False,0,0,0,0,0,,1,0,0,1,True,,26,15284,73058,0.1307,153.0,3,0,1,False,0,1,0,1,1,850.1,95.2,3.99,5,4728.71044921875,3103.4716796875,2026-09-22T03:13:17,2026-09-22T03:29:02,EXTRALARGE,True,True,0.01,-DLARGE_DATASET,1.0,0.992,0.977,0.971
